"","name_img","whiteRatio","sizeRatio","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","fit.cluster"
"1269","img-340.png",1259,161,1,176,427,619,546,417,429,512,491,"0.470588235294118",29
"1270","img-341.png",1173,176,1,114,477,619,581,417,429,446,432,"0.352941176470588",29
"1271","img-342.png",1283,403,136,437,698,542,281,294,352,383,274,"0.433333333333333",26
"1272","img-343.png",1509,352,194,548,715,572,481,395,456,267,274,"0.533333333333333",18
"1273","img-344.png",1004,438,35,315,681,458,398,395,411,267,274,"0.466666666666667",11
"1274","img-345.png",1341,403,81,437,698,572,281,443,486,432,322,"0.433333333333333",26
"1275","img-346.png",1198,438,81,355,657,542,441,353,352,383,227,"0.5",26
"1276","img-347.png",1119,438,81,437,534,379,343,294,300,267,322,"0.533333333333333",25
"1277","img-348.png",1082,338,298,573,591,379,281,179,352,383,322,"0.566666666666667",25
"1278","img-349.png",1297,403,35,315,657,647,343,353,411,383,322,"0.5",26
"1279","img-35.png",1065,44,197,611,560,551,371,232,261,378,271,"0.243243243243243",30
"1280","img-350.png",1260,416,35,437,622,542,161,353,300,328,322,"0.5",25
"1281","img-351.png",987,397,154,104,728,446,343,294,300,289,444,"0.777777777777778",11
"1282","img-352.png",910,397,113,124,688,519,380,218,222,328,386,"0.8",11
"1283","img-353.png",790,397,81,83,728,332,215,253,372,366,260,"0.822222222222222",11
"1284","img-354.png",1011,393,136,64,182,647,658,443,300,328,322,"0.333333333333333",3
"1285","img-355.png",103,366,373,430,332,30,130,86,27,91,133,"0.1875",13
"1286","img-356.png",637,349,472,291,58,112,78,494,581,312,416,"0.398148148148148",27
"1287","img-357.png",1109,282,58,497,471,426,130,173,149,580,495,"0.357142857142857",6
"1288","img-358.png",1109,195,281,586,431,453,130,141,27,580,474,"0.5",14
"1289","img-359.png",1024,243,58,497,531,475,209,141,149,552,452,"0.285714285714286",6
"1290","img-36.png",1000,55,215,564,613,536,371,349,194,378,234,"0.216216216216216",30
"1291","img-360.png",1249,195,281,586,547,396,169,101,300,564,322,"0.380952380952381",1
"1292","img-361.png",1347,177,367,630,513,453,169,141,419,574,452,"0.428571428571429",1
"1293","img-362.png",1024,195,168,562,547,453,169,141,46,552,495,"0.333333333333333",14
"1294","img-363.png",1121,167,200,462,411,431,149,123,309,563,476,"0.409090909090909",1
"1295","img-364.png",1241,243,168,524,531,453,169,101,75,580,517,"0.452380952380952",6
"1296","img-365.png",992,153,308,517,392,252,149,123,348,523,366,"0.363636363636364",14
"1297","img-366.png",1044,215,103,644,631,332,460,419,435,328,264,"0.375",25
"1298","img-367.png",805,253,563,631,384,401,423,375,443,209,341,"0.307692307692308",10
"1300","img-369.png",338,412,74,538,335,372,361,297,559,450,93,"0.146551724137931",16
"1301","img-37.png",893,55,197,611,539,481,395,232,157,331,234,"0.22972972972973",30
"1302","img-370.png",1087,269,117,517,543,477,311,85,64,376,531,"0.409090909090909",6
"1303","img-371.png",930,309,23,500,598,534,370,159,88,461,546,"0.45",6
"1304","img-372.png",1027,289,19,353,543,431,188,159,22,443,543,"0.431818181818182",6
"1305","img-373.png",1210,184,200,542,561,516,392,55,64,551,496,"0.454545454545455",6
"1306","img-374.png",1176,289,19,382,670,502,275,36,64,535,561,"0.454545454545455",6
"1307","img-375.png",1087,235,55,411,526,502,149,85,97,443,531,"0.477272727272727",6
"1308","img-376.png",1141,269,200,353,627,532,275,85,64,376,531,"0.454545454545455",6
"1309","img-377.png",1209,177,231,542,510,532,226,36,64,571,496,"0.386363636363636",6
"1310","img-378.png",1120,289,55,437,455,431,353,123,97,535,496,"0.454545454545455",6
"1311","img-379.png",1167,252,83,462,649,555,353,189,64,376,543,"0.272727272727273",6
"1312","img-38.png",915,44,227,561,584,516,355,159,181,295,319,"0.263157894736842",30
"1313","img-380.png",486,451,100,112,396,135,66,53,604,351,306,"0.392857142857143",21
"1314","img-381.png",204,352,230,199,408,261,274,318,301,45,134,"0.394117647058824",5
"1315","img-382.png",187,403,155,199,363,301,309,279,310,72,86,"0.376470588235294",5
"1316","img-383.png",315,392,178,255,422,301,323,420,301,105,147,"0.447058823529412",5
"1317","img-384.png",234,347,243,237,445,452,375,213,258,438,121,"0.183823529411765",5
"1318","img-385.png",195,425,207,233,391,319,213,318,301,57,63,"0.4",5
"1319","img-386.png",216,362,198,270,399,232,263,395,106,64,134,"0.488235294117647",5
"1320","img-387.png",125,403,166,156,408,329,146,254,204,51,50,"0.305882352941176",5
"1321","img-388.png",201,367,193,127,412,442,274,228,320,498,66,"0.191176470588235",5
"1322","img-389.png",177,425,145,133,399,354,237,338,341,45,73,"0.352941176470588",5
"1323","img-39.png",1123,51,341,633,591,408,410,319,182,302,284,"0.291666666666667",30
"1324","img-390.png",151,403,155,208,391,319,237,254,263,51,73,"0.288235294117647",5
"1325","img-391.png",193,355,179,130,434,489,243,200,242,498,66,"0.183823529411765",5
"1326","img-392.png",228,406,166,220,416,312,274,305,254,115,122,"0.447058823529412",5
"1327","img-393.png",166,377,180,192,379,334,210,274,246,46,79,"0.377142857142857",5
"1328","img-394.png",1248,274,1,206,329,499,578,615,622,611,571,"0.578947368421053",7
"1329","img-395.png",172,351,564,305,112,165,250,125,150,120,201,"0.228260869565217",13
"1330","img-396.png",156,382,529,368,171,165,188,172,83,179,114,"0.184782608695652",13
"1331","img-397.png",78,346,546,311,54,85,138,33,58,80,87,"0.1875",13
"1332","img-398.png",155,379,553,318,80,138,225,110,115,140,217,"0.260869565217391",13
"1333","img-399.png",122,397,494,400,51,79,136,188,115,161,98,"0.217391304347826",13
"1334","img-4.png",121,280,389,558,205,26,11,446,27,117,89,"0.151785714285714",13
"1335","img-40.png",257,55,103,555,578,497,314,139,182,111,14,"0.125",4
"1336","img-400.png",94,419,485,305,92,39,225,125,100,90,82,"0.195652173913043",13
"1337","img-401.png",196,108,549,381,296,262,306,128,345,235,40,"0.184210526315789",2
"1338","img-402.png",273,100,603,316,309,280,321,183,471,210,61,"0.144736842105263",2
"1339","img-403.png",289,108,614,284,309,297,379,220,463,131,53,"0.184210526315789",2
"1340","img-404.png",295,119,583,344,338,397,344,290,269,394,53,"0.171052631578947",2
"1341","img-405.png",215,113,525,316,338,297,344,174,345,260,40,"0.203947368421053",2
"1342","img-406.png",578,283,561,243,296,343,335,174,402,247,319,"0.368421052631579",2
"1343","img-407.png",299,203,561,338,317,333,379,290,335,421,53,"0.171052631578947",2
"1344","img-408.png",1160,464,572,480,439,352,331,375,135,380,555,"0.576923076923077",9
"1345","img-409.png",717,261,17,460,374,411,206,73,249,568,313,"0.326086956521739",14
"1346","img-41.png",747,72,184,524,583,453,334,187,240,390,236,"0.242857142857143",30
"1347","img-410.png",1227,135,395,634,521,411,206,73,211,560,433,"0.347826086956522",1
"1348","img-411.png",931,161,292,514,435,411,136,44,324,568,433,"0.282608695652174",14
"1349","img-412.png",763,161,220,491,348,324,136,17,211,560,343,"0.260869565217391",14
"1350","img-413.png",53,389,433,146,33,57,89,214,55,87,112,"0.203703703703704",13
"1351","img-414.png",59,429,422,254,58,83,78,159,55,78,85,"0.185185185185185",13
"1352","img-415.png",64,377,538,135,28,11,73,159,91,85,125,"0.211538461538462",13
"1353","img-416.png",48,389,507,232,33,83,62,198,66,53,85,"0.157407407407407",13
"1354","img-417.png",92,405,408,347,58,57,129,198,95,87,112,"0.231481481481481",13
"1355","img-418.png",1524,295,20,350,678,533,502,556,577,574,544,"0.571428571428571",28
"1356","img-419.png",1573,184,241,612,661,453,520,509,544,580,532,"0.523809523809524",18
"1357","img-42.png",255,56,206,622,520,408,343,139,123,69,14,"0.166666666666667",4
"1358","img-420.png",1491,289,87,547,567,533,534,435,495,552,532,"0.476190476190476",28
"1359","img-421.png",241,137,392,503,271,66,31,60,70,88,102,"0.170731707317073",13
"1360","img-422.png",240,211,183,312,200,87,86,204,535,279,287,"0.294871794871795",21
"1361","img-423.png",1102,350,1,127,332,516,534,363,460,559,608,"0.625",3
"1362","img-424.png",1418,215,9,315,463,600,607,624,602,542,502,"0.45",20
"1363","img-425.png",737,361,1,232,378,516,579,509,511,523,437,"0.416666666666667",19
"1364","img-426.png",996,138,168,547,661,501,476,370,259,404,423,"0.333333333333333",30
"1365","img-427.png",819,478,200,330,455,252,311,270,273,376,602,"0.590909090909091",14
"1366","img-428.png",350,118,1,293,471,675,653,613,524,84,105,"0.238095238095238",17
"1367","img-429.png",920,473,1,51,122,122,102,322,511,554,556,"0.45",12
"1368","img-43.png",1116,55,241,582,631,497,314,224,277,328,322,"0.291666666666667",30
"1369","img-430.png",1110,473,1,60,68,58,402,425,493,513,571,"0.368421052631579",12
"1371","img-432.png",1142,142,1,83,455,647,647,635,545,432,345,"0.3",29
"1372","img-433.png",1152,52,35,421,681,572,343,373,381,432,511,"0.516666666666667",26
"1373","img-434.png",154,204,273,258,228,250,153,61,132,143,74,"0.4375",13
"1375","img-436.png",1310,377,1,191,419,548,589,590,481,279,5,"0.307692307692308",29
"1376","img-437.png",418,399,127,436,420,302,201,364,33,308,453,"0.301075268817204",16
"1377","img-438.png",406,142,1,104,455,595,633,625,585,414,247,"0.277777777777778",19
"1378","img-439.png",39,262,334,308,133,89,61,59,69,52,92,"0.191489361702128",13
"1379","img-44.png",837,55,82,594,684,516,446,166,93,185,271,"0.22972972972973",30
"1380","img-440.png",274,461,307,204,193,96,144,231,483,293,299,"0.333333333333333",21
"1381","img-441.png",349,204,241,232,126,175,144,117,446,388,486,"0.425925925925926",21
"1382","img-442.png",989,473,1,181,356,516,441,395,411,432,419,"0.4",3
"1383","img-443.png",678,286,120,279,331,630,343,117,172,357,486,"0.62962962962963",17
"1384","img-444.png",176,230,128,284,159,112,68,319,452,200,185,"0.194444444444444",27
"1385","img-445.png",1482,150,87,437,678,703,520,334,300,492,578,"0.619047619047619",28
"1386","img-446.png",157,414,217,423,103,90,66,97,591,96,104,"0.185064935064935",21
"1387","img-447.png",136,281,360,335,67,38,40,129,584,81,74,"0.176282051282051",13
"1388","img-448.png",1051,138,262,548,690,282,28,37,88,267,600,"0.8",14
"1389","img-449.png",1107,204,26,367,461,332,366,380,391,435,575,"0.694444444444444",8
"1390","img-45.png",985,51,197,594,599,498,494,232,214,288,175,"0.283783783783784",30
"1391","img-450.png",1521,267,1,12,292,440,343,294,435,592,608,"0.916666666666667",7
"1392","img-451.png",1424,167,1,10,246,265,381,435,563,605,614,"0.928571428571429",7
"1393","img-452.png",1598,229,1,127,332,603,534,159,592,624,634,"0.75",20
"1394","img-453.png",1250,182,1,64,73,225,343,419,617,620,639,"0.666666666666667",12
"1395","img-454.png",141,41,577,587,179,182,196,93,114,112,154,"0.193798449612403",13
"1396","img-455.png",106,449,234,224,73,69,401,256,132,99,372,"0.208333333333333",13
"1397","img-456.png",535,425,398,384,241,108,60,47,440,513,462,"0.350877192982456",21
"1398","img-457.png",1168,478,218,375,356,472,441,322,240,554,627,"0.5",8
"1399","img-458.png",1262,483,218,315,304,359,370,322,411,575,627,"0.75",8
"1400","img-459.png",1530,383,1,35,267,531,599,607,583,517,459,"0.347826086956522",7
"1401","img-46.png",1065,51,238,594,653,498,412,127,214,355,293,"0.243243243243243",30
"1402","img-460.png",714,471,87,112,311,453,476,301,218,204,328,"0.392857142857143",17
"1403","img-461.png",909,300,1,651,722,703,572,435,27,239,255,"0.285714285714286",30
"1405","img-463.png",714,444,40,263,311,413,552,159,108,117,589,"0.678571428571429",17
"1406","img-464.png",1180,129,75,172,490,529,377,329,570,559,587,"0.479166666666667",8
"1407","img-465.png",9,379,352,84,31,26,19,13,18,21,23,"0.1875",13
"1408","img-466.png",865,383,1,31,505,603,486,446,460,290,295,"0.3125",19
"1409","img-467.png",1095,361,194,181,591,630,215,179,188,383,595,"0.7",6
"1410","img-468.png",116,54,104,165,699,608,192,26,14,18,17,"0.113475177304965",4
"1411","img-469.png",1177,478,103,339,490,390,460,419,435,455,587,"0.666666666666667",8
"1412","img-47.png",1225,55,341,633,620,510,343,198,300,394,322,"0.277777777777778",1
"1413","img-470.png",336,453,286,442,277,258,126,22,41,499,399,"0.350877192982456",24
"1414","img-471.png",808,257,154,232,347,467,582,380,153,189,427,"0.611111111111111",17
"1415","img-472.png",699,346,42,177,276,451,539,262,95,189,466,"0.759259259259259",17
"1416","img-473.png",81,401,319,363,199,218,179,109,85,50,72,"0.184210526315789",13
"1417","img-474.png",16,302,365,367,268,52,8,10,16,8,14,"0.131944444444444",13
"1418","img-475.png",1248,383,1,44,311,655,621,602,108,239,452,"0.428571428571429",3
"1419","img-476.png",801,350,1,83,424,493,441,395,486,542,603,"0.6",19
"1420","img-477.png",724,306,1,83,356,542,441,294,486,542,603,"0.533333333333333",19
"1421","img-478.png",884,358,241,399,292,542,550,179,141,53,587,"0.666666666666667",17
"1422","img-479.png",1056,350,1,99,390,575,572,435,449,564,597,"0.428571428571429",3
"1423","img-48.png",749,324,40,552,538,433,351,242,138,47,306,"0.357142857142857",30
